,0
0,30.74366512
1,20.6826532746
2,76.2197820384
3,28.0326120957
4,24.0846329957
5,74.3019099178
6,74.995283615
7,85.1195298751
8,36.8156344932
9,81.5947962192
10,36.3288072324
11,18.6736871347
12,62.9116220981
13,41.4722680908
14,27.5409150925
15,78.8616921327
16,56.7250389963
17,4.60271537977
18,66.1767990484
19,85.5248181388
20,91.8178310106
21,61.7234458781
22,53.2154137
23,75.2258364914
24,30.7174986999
25,75.8863363132
26,31.6544644273
27,78.9215860549
28,78.7545218392
29,82.9912026275
30,26.0935192361
31,61.6130295615
32,82.1439877328
33,90.7855535101
34,54.970820931
35,12.5990954907
36,49.6296695096
37,22.7034703963
38,22.4991456517
39,35.5733819012
40,32.6620006079
41,85.3575191014
42,73.4725793707
43,80.7434003545
44,41.8612288281
45,66.3790791173
46,45.5455762388
47,12.1846296193
48,17.1109203338
49,87.5238365023
50,51.8037656649
51,60.910073089
52,38.5977177855
53,20.9979631091
54,23.9269034394
55,88.9258139845
56,71.0742968466
57,76.128551193
58,42.0365463802
59,13.5304371599
60,91.8092597857
61,78.8318837144
62,35.2571567911
63,38.6836134273
64,30.0418538323
65,78.9088075373
66,64.1423225115
67,34.9715359207
68,19.9349403144
69,25.1643886899
70,30.903212675
71,22.351037882
72,58.9163163871
73,20.6461551845
74,49.0430885257
75,24.4052863631
76,4.64642205651
77,30.8598921883
